"VSLR__timestamps","VSLR__prices__High","VSLR__prices__Open","VSLR__prices__Low","VSLR__prices__Close","RUN__timestamps","RUN__prices__High","RUN__prices__Open","RUN__prices__Low","RUN__prices__Close","CSIQ__timestamps","CSIQ__prices__High","CSIQ__prices__Open","CSIQ__prices__Low","CSIQ__prices__Close","PEGI__timestamps","PEGI__prices__High","PEGI__prices__Open","PEGI__prices__Low","PEGI__prices__Close","FSLR__timestamps","FSLR__prices__High","FSLR__prices__Open","FSLR__prices__Low","FSLR__prices__Close","SPWR__timestamps","SPWR__prices__High","SPWR__prices__Open","SPWR__prices__Low","SPWR__prices__Close","JKS__timestamps","JKS__prices__High","JKS__prices__Open","JKS__prices__Low","JKS__prices__Close","ENPH__timestamps","ENPH__prices__High","ENPH__prices__Open","ENPH__prices__Low","ENPH__prices__Close","SEDG__timestamps","SEDG__prices__High","SEDG__prices__Open","SEDG__prices__Low","SEDG__prices__Close","TSLA__timestamps","TSLA__prices__High","TSLA__prices__Open","TSLA__prices__Low","TSLA__prices__Close","AQN__timestamps","AQN__prices__High","AQN__prices__Open","AQN__prices__Low","AQN__prices__Close","DQ__timestamps","DQ__prices__High","DQ__prices__Open","DQ__prices__Low","DQ__prices__Close","AZRE__timestamps","AZRE__prices__High","AZRE__prices__Open","AZRE__prices__Low","AZRE__prices__Close","ASTI__timestamps","ASTI__prices__High","ASTI__prices__Open","ASTI__prices__Low","ASTI__prices__Close","YGEHY__timestamps","YGEHY__prices__High","YGEHY__prices__Open","YGEHY__prices__Low","YGEHY__prices__Close","SUNW__timestamps","SUNW__prices__High","SUNW__prices__Open","SUNW__prices__Low","SUNW__prices__Close","RGSE__timestamps","RGSE__prices__High","RGSE__prices__Open","RGSE__prices__Low","RGSE__prices__Close","EVSI__timestamps","EVSI__prices__High","EVSI__prices__Open","EVSI__prices__Low","EVSI__prices__Close"
"2018-09-13","5.0","4.9499998089999995","4.900000095","4.900000095","2018-09-13","13.38000011","12.83500004","12.83100033","13.09000015","2018-09-13","15.10000038","14.85999966","14.64000034","14.65999985","2018-09-13","20.51000023","20.29000092","20.15999985","20.47999954","2018-09-13","49.68000031","49.02999878","48.25999832","48.40999985","2018-09-13","6.980000018999999","6.8800001139999996","6.6199998860000004","6.639999866","2018-09-13","12.96000004","12.96000004","12.35999966","12.38000011","2018-09-13","4.5","4.389999866","4.070000172","4.099999905","2018-09-13","45.20000076","43.5","43.5","43.75","2018-09-13","295.0","288.019989","285.17999269999996","289.4599915","2018-09-13","10.59000015","10.59000015","10.48999977","10.55000019","2018-09-13","32.16999817","31.21999931","31.0","31.64999962","2018-09-13","14.98600006","14.80000019","14.80000019","14.80000019","2018-09-13","0.107000001","0.09000000400000001","0.060600000999999994","0.075949997","2018-09-13","0.300000012","0.25","0.25","0.25","2018-09-13","4.528999805","4.263000011","3.7170000080000003","3.779999971","2018-09-13","0.389999986","0.379999995","0.370000005","0.379999995","2018-09-13","10.0","9.899999618999999","9.75","10.0"
"2018-09-14","4.9499998089999995","4.900000095","4.900000095","4.9499998089999995","2018-09-14","13.23999977","13.05000019","12.94999981","13.13000011","2018-09-14","14.75","14.68999958","14.52000046","14.61999989","2018-09-14","20.5","20.48999977","19.79999924","19.98999977","2018-09-14","48.74000168","48.31999969","47.91999817","48.20999908","2018-09-14","6.7100000379999996","6.650000095","6.53000021","6.6999998089999995","2018-09-14","12.72000027","12.34000015","12.26000023","12.42000008","2018-09-14","4.239999771","4.110000134","3.970000029","4.03000021","2018-09-14","44.54999924","43.79999924","42.04999924","42.15000153","2018-09-14","297.32998660000004","288.76000980000003","286.519989","295.2000122","2018-09-14","10.55000019","10.55000019","10.39999962","10.44999981","2018-09-14","31.87000084","31.65999985","30.53000069","30.79999924","2018-09-14","14.89999962","14.89999962","14.89999962","14.89999962","2018-09-14","0.079899997","0.079899997","0.059999999000000005","0.063000001","2018-09-14","0.25","0.25","0.25","0.25","2018-09-14","4.1999998089999995","4.1999998089999995","3.849999905","3.9270000460000003","2018-09-14","0.379999995","0.370000005","0.360000014","0.370000005","2018-09-14","10.0","9.75","9.75","9.949999809"
"2018-09-17","4.9499998089999995","4.900000095","4.900000095","4.9499998089999995","2018-09-17","13.18999958","13.06999969","12.47999954","12.56000042","2018-09-17","14.72999954","14.60999966","14.42000008","14.65999985","2018-09-17","20.45999908","20.18000031","20.04999924","20.45000076","2018-09-17","48.25","47.90999985","47.34000015","47.75","2018-09-17","6.690000057000001","6.679999828","6.510000229","6.579999924","2018-09-17","12.52999973","12.36999989","12.09000015","12.14999962","2018-09-17","4.03000021","4.010000229","3.700000048","3.890000105","2018-09-17","43.35499954","42.5","41.29999924","42.09999847","2018-09-17","300.86999510000004","290.0400085","288.13000489999996","294.8399963","2018-09-17","10.59000015","10.47999954","10.43000031","10.56000042","2018-09-17","31.06999969","30.59000015","29.0","29.56999969","2018-09-17","14.71000004","14.71000004","14.60000038","14.63000011","2018-09-17","0.080200002","0.064000003","0.0603","0.07","2018-09-17","0.34000000399999997","0.34000000399999997","0.25","0.25","2018-09-17","4.059999943","3.9200000760000004","3.674999952","3.674999952","2018-09-17","0.389999986","0.389999986","0.370000005","0.389999986","2018-09-17","10.0","10.0","9.75","9.75"
"2018-09-18","5.0500001910000005","4.9499998089999995","4.900000095","5.0","2018-09-18","13.06000042","12.5","12.48999977","12.89000034","2018-09-18","15.05000019","14.65999985","14.64999962","14.88000011","2018-09-18","20.92000008","20.42000008","20.42000008","20.72999954","2018-09-18","50.00999832","47.81000137","47.81000137","49.54999924","2018-09-18","7.639999866","6.690000057000001","6.639999866","7.5500001910000005","2018-09-18","12.64999962","12.14000034","12.0","12.44999981","2018-09-18","4.420000076","3.890000105","3.8800001139999996","4.360000134","2018-09-18","43.15000153","42.0","41.65000153","42.04999924","2018-09-18","302.64001460000003","296.69000239999997","275.5","284.9599915","2018-09-18","10.61999989","10.56000042","10.51000023","10.60000038","2018-09-18","30.17000008","29.64999962","29.43000031","29.76000023","2018-09-18","15.38000011","14.5","14.5","15.0","2018-09-18","0.078000002","0.069949999","0.059999999000000005","0.07","2018-09-18","0.319999993","0.25","0.25","0.27000001100000004","2018-09-18","4.18599987","3.640000105","3.640000105","3.99000001","2018-09-18","0.430000007","0.389999986","0.389999986","0.430000007","2018-09-18","10.0","9.800000191","9.800000191","9.850000381000001"
"2018-09-19","5.0500001910000005","4.9499998089999995","4.9499998089999995","5.0","2018-09-19","13.03999996","12.89999962","12.59000015","12.75","2018-09-19","15.05000019","14.80000019","14.67000008","14.93999958","2018-09-19","20.88999939","20.75","20.36000061","20.45000076","2018-09-19","50.34999847","50.25","48.93000031","49.59999847","2018-09-19","8.109999657000001","8.0","7.599999905","7.9499998089999995","2018-09-19","12.68000031","12.59000015","12.32999992","12.64999962","2018-09-19","4.460000038","4.420000076","4.0500001910000005","4.230000018999999","2018-09-19","41.84999847","41.54999924","38.04999924","40.75","2018-09-19","300.0","280.51000980000003","280.5","299.019989","2018-09-19","10.63000011","10.60000038","10.47000027","10.55000019","2018-09-19","30.14999962","29.59000015","28.5","29.54999924","2018-09-19","15.78800011","14.80000019","14.68000031","15.43999958","2018-09-19","0.075000003","0.07","0.059999999000000005","0.061099999","2018-09-19","0.25","0.25","0.25","0.25","2018-09-19","4.059999943","3.99000001","3.8570001130000002","3.9200000760000004","2018-09-19","0.430000007","0.430000007","0.389999986","0.400000006","2018-09-19","10.0","9.899999618999999","9.899999618999999","9.899999618999999"
"2018-09-20","5.0500001910000005","5.0500001910000005","5.0","5.0","2018-09-20","13.18000031","12.80000019","12.75","12.84000015","2018-09-20","15.43999958","14.89999962","14.89999962","15.32999992","2018-09-20","20.72999954","20.62000084","20.36000061","20.47999954","2018-09-20","50.47000122","49.95999908","49.59000015","50.29000092","2018-09-20","8.170000076","7.8800001139999996","7.679999828","8.069999695","2018-09-20","12.77999973","12.75","12.35000038","12.46000004","2018-09-20","4.5","4.25","4.1300001139999996","4.420000076","2018-09-20","42.875","41.20000076","41.20000076","42.75","2018-09-20","305.980011","303.55999760000003","293.32998660000004","298.32998660000004","2018-09-20","10.57999992","10.55000019","10.43999958","10.56000042","2018-09-20","31.34000015","29.59000015","29.54999924","30.87000084","2018-09-20","15.43999958","15.28199959","14.67000008","15.30000019","2018-09-20","0.07","0.0625","0.059999999000000005","0.064350002","2018-09-20","0.34000000399999997","0.25","0.25","0.289999992","2018-09-20","4.1999998089999995","3.849999905","3.667999983","3.779999971","2018-09-20","0.419999987","0.40999999600000003","0.389999986","0.400000006","2018-09-20","10.0","10.0","9.75","10.0"
"2018-09-21","5.150000095","5.0","4.9499998089999995","5.0500001910000005","2018-09-21","13.03899956","12.84000015","12.4829998","12.5","2018-09-21","15.52000046","15.35000038","14.67000008","14.72000027","2018-09-21","20.75","20.52000046","20.37999916","20.57999992","2018-09-21","50.70999908","50.47999954","49.88000107","49.97999954","2018-09-21","8.140000342999999","8.050000191","7.769999981000001","7.889999866","2018-09-21","12.5","12.35000038","12.14999962","12.35999966","2018-09-21","4.539999962","4.420000076","4.230000018999999","4.400000095","2018-09-21","44.15000153","42.79999924","42.09999847","42.59999847","2018-09-21","300.57998660000004","297.7000122","295.36999510000004","299.10000610000003","2018-09-21","10.69999981","10.44999981","10.39999962","10.63000011","2018-09-21","31.19000053","30.97999954","29.14999962","30.20999908","2018-09-21","15.98999977","15.30000019","15.03100014","15.80000019","2018-09-21","0.06899999799999999","0.066","0.059999999000000005","0.061000001","2018-09-21","0.27000001100000004","0.25","0.25","0.25","2018-09-21","3.9549999239999996","3.7869999410000004","3.7869999410000004","3.9059998989999998","2018-09-21","0.419999987","0.419999987","0.400000006","0.40999999600000003","2018-09-21","10.0","10.0","9.850000381000001","9.850000381000001"
"2018-09-24","5.3000001910000005","5.0","5.0","5.25","2018-09-24","12.69499969","12.5","12.3579998","12.51000023","2018-09-24","15.13000011","14.72999954","14.69999981","14.81999969","2018-09-24","20.95000076","20.62000084","20.17000008","20.28000069","2018-09-24","50.45999908","49.97999954","49.45999908","50.22999954","2018-09-24","8.010000229","7.8000001910000005","7.760000229","7.78000021","2018-09-24","12.5","12.30000019","12.01000023","12.02999973","2018-09-24","4.440000057","4.3699998860000004","4.179999828","4.210000038","2018-09-24","42.79999924","42.0","41.20000076","42.40000153","2018-09-24","303.0","298.480011","293.57998660000004","299.67999269999996","2018-09-24","10.71000004","10.71000004","10.52000046","10.55000019","2018-09-24","30.79000092","29.98999977","29.20999908","30.75","2018-09-24","15.80000019","15.31000042","15.0","15.60000038","2018-09-24","0.068000004","0.068000004","0.061749998","0.064499997","2018-09-24","0.310000002","0.25","0.25","0.300000012","2018-09-24","4.116000175","3.9059998989999998","3.674999952","3.773000002","2018-09-24","0.419999987","0.40999999600000003","0.389999986","0.400000006","2018-09-24","10.30000019","10.0","9.5","9.75"
"2018-09-25","5.28399992","5.25","5.150000095","5.150000095","2018-09-25","12.60499954","12.5","12.25","12.52000046","2018-09-25","14.84000015","14.77999973","14.53999996","14.65999985","2018-09-25","20.40999985","20.32999992","19.69000053","19.79000092","2018-09-25","50.27000046","50.13999939","49.40000153","49.65000153","2018-09-25","7.849999905","7.809999942999999","7.659999847000001","7.71999979","2018-09-25","12.30000019","12.02999973","11.69999981","11.77000046","2018-09-25","4.840000153","4.239999771","4.190000057","4.6199998860000004","2018-09-25","42.75","42.09999847","40.75","40.79999924","2018-09-25","304.60000610000003","300.0","296.5","300.98999019999997","2018-09-25","10.57999992","10.57999992","10.40999985","10.44999981","2018-09-25","30.70000076","30.51000023","27.12999916","27.73999977","2018-09-25","15.56999969","15.30000019","15.14999962","15.30000019","2018-09-25","0.079999998","0.068499997","0.06199999900000001","0.06199999900000001","2018-09-25","0.319999993","0.25","0.25","0.280000001","2018-09-25","3.9059998989999998","3.723999977","3.723999977","3.730999947","2018-09-25","0.40999999600000003","0.400000006","0.389999986","0.400000006","2018-09-25","10.14999962","10.0","9.449999809","9.449999809"
"2018-09-26","5.1999998089999995","5.099999905","5.099999905","5.1999998089999995","2018-09-26","12.56999969","12.48999977","12.40499973","12.46000004","2018-09-26","14.94999981","14.68999958","14.43000031","14.52999973","2018-09-26","19.98999977","19.87999916","19.56999969","19.61000061","2018-09-26","49.90000153","49.74000168","48.50999832","48.54999924","2018-09-26","7.730000018999999","7.690000057000001","7.5399999620000004","7.559999942999999","2018-09-26","11.94999981","11.80000019","11.69999981","11.72000027","2018-09-26","4.78000021","4.670000076","4.519999981000001","4.539999962","2018-09-26","41.59999847","41.20000076","39.47499847","39.95000076","2018-09-26","313.89001460000003","301.9100037","301.10998539999997","309.57998660000004","2018-09-26","10.52000046","10.44999981","10.35000038","10.35999966","2018-09-26","27.79999924","27.70000076","25.75","26.62999916","2018-09-26","15.52999973","15.52999973","15.31000042","15.52000046","2018-09-26","0.07","0.06199999900000001","0.061000001","0.065899998","2018-09-26","0.289999992","0.25","0.25","0.280000001","2018-09-26","3.9059998989999998","3.9059998989999998","3.723999977","3.752000093","2018-09-26","0.40999999600000003","0.40999999600000003","0.389999986","0.400000006","2018-09-26","10.0","10.0","9.149999618999999","9.5"
